NDB_No,Shrt_Desc,Water_(g),Energ_Kcal,Protein_(g),Lipid_Tot_(g),Ash_(g),Carbohydrt_(g),Fiber_TD_(g),Sugar_Tot_(g),Calcium_(mg),Iron_(mg),Magnesium_(mg),Phosphorus_(mg),Potassium_(mg),Sodium_(mg),Zinc_(mg),Copper_(mg),Manganese_(mg),Selenium_(mg),Vit_C_(mg),Thiamin_(mg),Riboflavin_(mg),Niacin_(mg),Vit_B6_(mg),Folic_Acid_(mg),Vit_B12_(mg)
1038,"CHEESE,ROMANO",30.91,387.0,31.8,26.94,6.72,3.63,0.0,0.73,1064.0,0.77,41.0,760.0,86.0,1433.0,2.58,0.03,0.02,14.5,0.0,0.037,0.37,0.077,0.085,0.0,1.12
1040,"CHEESE,SWISS",37.63,393.0,26.96,30.99,2.97,1.44,0.0,0.0,890.0,0.13,33.0,574.0,72.0,187.0,4.37,0.047,0.026,30.0,0.0,0.011,0.302,0.064,0.071,0.0,3.06
1042,"CHEESE,PAST PROCESS,AMERICAN,FORT  VITAMIN D",39.61,366.0,18.13,30.71,6.78,4.78,0.0,2.26,1045.0,0.63,26.0,641.0,132.0,1671.0,2.49,0.046,0.041,20.2,0.0,0.015,0.234,0.076,0.054,0.0,1.5
1043,"CHEESE,PAST PROCESS,PIMENTO",39.08,375.0,22.13,31.2,5.84,1.73,0.1,0.62,614.0,0.42,22.0,744.0,162.0,915.0,2.98,0.033,0.016,14.5,2.3,0.027,0.354,0.078,0.071,0.0,0.7
1044,"CHEESE,PAST PROCESS,SWISS",42.31,334.0,24.73,25.01,5.85,2.1,0.0,1.23,772.0,0.61,29.0,762.0,216.0,1370.0,3.61,0.027,0.014,15.9,0.0,0.014,0.276,0.038,0.036,0.0,1.23
1046,"CHEESE FD,PAST PROCESS,AMERICAN,VITAMIN D FORT",44.0,330.0,16.86,25.63,4.96,8.56,0.0,5.59,682.0,0.26,27.0,438.0,255.0,1284.0,2.31,0.034,0.025,19.6,0.0,0.035,0.36,0.155,0.102,0.0,1.33
1048,"CHEESE SPRD,PAST PROCESS,AMERICAN",47.65,290.0,16.41,21.23,5.98,8.73,0.0,7.32,562.0,0.33,29.0,875.0,242.0,1625.0,2.59,0.033,0.02,11.3,0.0,0.048,0.431,0.131,0.117,0.0,0.4
1049,"CREAM,FLUID,HALF AND HALF",81.24,123.0,3.13,10.39,0.51,4.73,0.0,4.13,107.0,0.05,10.0,95.0,132.0,61.0,0.39,0.009,0.005,3.2,0.9,0.03,0.194,0.109,0.05,0.0,0.19
1050,"CREAM,FLUID,LT (COFFEE CRM OR TABLE CRM)",74.51,191.0,2.96,19.1,0.61,2.82,0.0,3.67,91.0,0.05,9.0,92.0,136.0,72.0,0.32,0.012,0.005,4.6,0.8,0.023,0.19,0.09,0.044,0.0,0.14
1052,"CREAM,FLUID,LT WHIPPING",63.5,292.0,2.17,30.91,0.46,2.96,0.0,2.96,69.0,0.03,7.0,61.0,97.0,34.0,0.25,0.007,0.001,0.5,0.6,0.024,0.125,0.042,0.028,0.0,0.2
1053,"CREAM,FLUID,HVY WHIPPING",57.81,340.0,2.84,36.08,0.53,2.74,0.0,2.92,66.0,0.1,7.0,58.0,95.0,27.0,0.24,0.011,0.006,3.0,0.6,0.02,0.188,0.064,0.035,0.0,0.16
1054,"CREAM,WHIPPED,CRM TOPPING,PRESSURIZED",61.33,257.0,3.2,22.22,0.76,12.49,0.0,8.0,101.0,0.05,11.0,89.0,147.0,8.0,0.37,0.01,0.001,1.4,0.0,0.037,0.065,0.07,0.041,0.0,0.29
1055,"CREAM,SOUR,RED FAT,CULTURED",80.14,135.0,2.94,12.0,0.66,4.26,0.0,0.16,104.0,0.07,10.0,95.0,129.0,89.0,0.5,0.016,0.003,2.1,0.9,0.035,0.149,0.067,0.016,0.0,0.3
1056,"CREAM,SOUR,CULTURED",73.07,198.0,2.44,19.35,0.51,4.63,0.0,3.41,101.0,0.07,10.0,76.0,125.0,31.0,0.33,0.018,0.015,3.7,0.9,0.02,0.168,0.093,0.041,0.0,0.21
1057,EGGNOG,82.54,88.0,4.55,4.19,0.67,8.05,0.0,8.05,130.0,0.2,19.0,109.0,165.0,54.0,0.46,0.013,0.005,4.2,1.5,0.034,0.19,0.105,0.05,0.0,0.45
1058,"SOUR DRSNG,NON-BUTTERFAT,CULTURED,FILLED CREAM-TYPE",74.79,178.0,3.25,16.57,0.71,4.68,0.0,4.68,113.0,0.03,10.0,87.0,162.0,48.0,0.37,0.01,0.002,2.3,0.9,0.038,0.163,0.074,0.017,0.0,0.33
1060,"MILK,FILLED,FLUID,LAURIC ACID OIL",87.73,63.0,3.33,3.4,0.8,4.74,0.0,4.74,128.0,0.05,13.0,97.0,139.0,57.0,0.36,0.01,0.002,2.0,0.9,0.03,0.123,0.087,0.04,0.0,0.34
1067,"CREAM SUB,LIQ,HYDR VEG OIL&SOY PROT",77.27,136.0,1.0,9.97,0.38,11.38,0.0,11.38,9.0,0.03,0.0,64.0,191.0,67.0,0.02,0.0,0.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1069,"CREAM SUBSTITUTE,POWDERED",2.98,529.0,2.48,32.92,2.34,59.29,0.0,7.77,2.0,0.26,1.0,288.0,669.0,124.0,0.07,0.018,0.011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1070,"DESSERT TOPPING,POWDERED",1.47,577.0,4.9,39.92,1.17,52.54,0.0,52.54,17.0,0.03,7.0,74.0,166.0,122.0,0.08,0.118,0.225,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1071,"DESSERT TOPPING,PDR,1.5 OZ PREP 1/2 CUP MILK",65.74,194.0,3.61,12.72,0.8,17.13,0.0,17.13,90.0,0.04,10.0,86.0,151.0,66.0,0.27,0.012,0.005,4.8,0.7,0.027,0.117,0.06,0.03,0.0,0.26
1072,"DESSERT TOPPING,PRESSURIZED",60.37,264.0,0.98,22.3,0.28,16.07,0.0,16.07,5.0,0.02,1.0,18.0,19.0,62.0,0.01,0.024,0.045,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1073,"DESSERT TOPPING,SEMI SOLID,FRZ",50.21,318.0,1.25,25.31,0.18,23.05,0.0,23.05,6.0,0.12,2.0,8.0,18.0,25.0,0.03,0.03,0.058,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1074,"SOUR CRM,IMITN,CULTURED",71.15,208.0,2.4,19.52,0.3,6.63,0.0,6.63,3.0,0.39,6.0,45.0,161.0,102.0,1.18,0.058,0.11,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1077,"MILK,WHL,3.25% MILKFAT, ADDED VITAMIN D",88.13,61.0,3.15,3.25,0.67,4.8,0.0,5.05,113.0,0.03,10.0,84.0,132.0,43.0,0.37,0.025,0.004,3.7,0.0,0.046,0.169,0.089,0.036,0.0,0.45
1079,"MILK,RED FAT,FLUID,2% MILKFAT, ADDED VIT A & VITAMIN D",89.21,50.0,3.3,1.98,0.71,4.8,0.0,5.06,120.0,0.02,11.0,92.0,140.0,47.0,0.48,0.006,0.014,2.5,0.2,0.039,0.185,0.092,0.038,0.0,0.53
1081,"MILK,RED FAT,FLUID,2% MILKFAT,PROT FORT, ADDED VIT A & D",87.71,56.0,3.95,1.98,0.87,5.49,0.0,5.26,143.0,0.06,16.0,112.0,182.0,59.0,0.45,0.008,0.002,2.6,1.1,0.045,0.194,0.101,0.051,0.0,0.43
1082,"MILK,LOWFAT,FLUID,1% MILKFAT, ADDED VIT A & VITAMIN D",89.92,42.0,3.37,0.97,0.75,4.99,0.0,5.2,125.0,0.03,11.0,95.0,150.0,44.0,0.42,0.01,0.003,3.3,0.0,0.02,0.185,0.093,0.037,0.0,0.47
1085,"MILK,NONFAT,FLUID, ADDED VIT A & VIT D (FAT FREE OR SKIM)",90.84,34.0,3.37,0.08,0.75,4.96,0.0,5.09,122.0,0.03,11.0,101.0,156.0,42.0,0.42,0.013,0.003,3.1,0.0,0.045,0.182,0.094,0.037,0.0,0.5
1086,"MILK,NONFAT,FLUID, ADDED NONFAT MILK SOL,VIT A & VIT D",90.38,37.0,3.57,0.25,0.78,5.02,0.0,5.02,129.0,0.05,15.0,104.0,171.0,53.0,0.41,0.011,0.002,2.2,1.0,0.041,0.175,0.091,0.046,0.0,0.39
1088,"MILK,BTTRMLK,FLUID,CULTURED,LOWFAT",90.13,40.0,3.31,0.88,0.89,4.79,0.0,4.79,116.0,0.05,11.0,89.0,151.0,190.0,0.42,0.011,0.002,2.0,1.0,0.034,0.154,0.058,0.034,0.0,0.22
1089,"MILK,LO NA,FLUID",88.2,61.0,3.1,3.46,0.78,4.46,0.0,4.46,101.0,0.05,5.0,86.0,253.0,3.0,0.38,0.01,0.004,2.0,0.9,0.02,0.105,0.043,0.034,0.0,0.36
1090,"MILK,DRY,WHL, ADDED VITAMIN D",2.47,496.0,26.32,26.71,6.08,38.42,0.0,38.42,912.0,0.47,85.0,776.0,1330.0,371.0,3.34,0.08,0.04,16.3,8.6,0.283,1.205,0.646,0.302,0.0,3.25
1091,"MILK,DRY,NONFAT,REG,WO/ ADDED VIT A & VITAMIN D",3.16,362.0,36.16,0.77,7.93,51.98,0.0,51.98,1257.0,0.32,110.0,968.0,1794.0,535.0,4.08,0.041,0.02,27.3,6.8,0.415,1.55,0.951,0.361,0.0,4.03
1092,"MILK,DRY,NONFAT,INST, ADDED VIT A & VITAMIN D",3.96,358.0,35.1,0.72,8.03,52.19,0.0,52.19,1231.0,0.31,117.0,985.0,1705.0,549.0,4.41,0.041,0.02,27.3,5.6,0.413,1.744,0.891,0.345,0.0,3.99
1094,"MILK,BUTTERMILK,DRIED",2.97,387.0,34.3,5.78,7.95,49.0,0.0,49.0,1184.0,0.3,110.0,933.0,1592.0,517.0,4.02,0.111,0.023,20.3,5.7,0.392,1.579,0.876,0.338,0.0,3.82
1095,"MILK,CND,COND,SWTND",27.16,321.0,7.91,8.7,1.83,54.4,0.0,54.4,284.0,0.19,26.0,253.0,371.0,127.0,0.94,0.015,0.006,14.8,2.6,0.09,0.416,0.21,0.051,0.0,0.44
1096,"MILK,CND,EVAP, ADDED VITAMIN D & WO/ ADDED VIT A",74.04,134.0,6.81,7.56,1.55,10.04,0.0,10.04,261.0,0.19,24.0,203.0,303.0,106.0,0.77,0.016,0.006,2.3,1.9,0.047,0.316,0.194,0.05,0.0,0.16
1097,"MILK,CND,EVAP,NONFAT, ADDED VIT A & VITAMIN D",79.4,78.0,7.55,0.2,1.5,11.35,0.0,11.35,290.0,0.29,27.0,195.0,332.0,115.0,0.9,0.016,0.006,2.5,1.2,0.045,0.309,0.174,0.055,0.0,0.24
1102,"MILK,CHOC,FLUID,COMM,WHL, ADDED VIT A & VITAMIN D",82.3,83.0,3.17,3.39,0.8,10.34,0.8,9.54,112.0,0.24,13.0,101.0,167.0,60.0,0.41,0.065,0.077,1.9,0.9,0.037,0.162,0.125,0.04,0.0,0.33
1103,"MILK,CHOC,FLUID,COMM,RED FAT",82.17,76.0,2.99,1.9,0.81,12.13,0.7,9.55,109.0,0.24,14.0,102.0,169.0,66.0,0.39,0.075,0.062,3.4,0.0,0.045,0.183,0.164,0.024,0.0,0.33
1104,"MILK,CHOC,LOWFAT, ADDED VIT A & VITAMIN D",84.91,62.0,3.46,1.0,0.78,9.86,0.1,9.94,129.0,0.23,13.0,96.0,172.0,65.0,0.43,0.028,0.03,1.9,0.4,0.031,0.247,0.124,0.047,0.0,0.23
1105,"MILK,CHOC BEV,HOT COCOA,HOMEMADE",82.45,77.0,3.52,2.34,0.65,10.74,1.0,9.66,114.0,0.42,23.0,105.0,197.0,44.0,0.63,0.103,0.013,2.7,0.2,0.039,0.182,0.133,0.04,0.0,0.49
1106,"MILK,GOAT,FLUID, ADDED VITAMIN D",87.03,69.0,3.56,4.14,0.82,4.45,0.0,4.45,134.0,0.05,14.0,111.0,204.0,50.0,0.3,0.046,0.018,1.4,1.3,0.048,0.138,0.277,0.046,0.0,0.07
1107,"MILK,HUMAN,MATURE,FLUID",87.5,70.0,1.03,4.38,0.2,6.89,0.0,6.89,32.0,0.03,3.0,14.0,51.0,17.0,0.17,0.052,0.026,1.8,5.0,0.014,0.036,0.177,0.011,0.0,0.05
1110,"MILK SHAKES,THICK CHOC",72.2,119.0,3.05,2.7,0.9,21.15,0.3,20.85,132.0,0.31,16.0,126.0,224.0,111.0,0.48,0.065,0.039,1.9,0.0,0.047,0.222,0.124,0.025,0.0,0.32
1111,"MILK SHAKES,THICK VANILLA",74.45,112.0,3.86,3.03,0.91,17.75,0.0,17.75,146.0,0.1,12.0,115.0,183.0,95.0,0.39,0.051,0.014,2.3,0.0,0.03,0.195,0.146,0.042,0.0,0.52
1112,"WHEY,ACID,FLUID",93.42,24.0,0.76,0.09,0.61,5.12,0.0,5.12,103.0,0.08,10.0,78.0,143.0,48.0,0.43,0.003,0.002,1.8,0.1,0.042,0.14,0.079,0.042,0.0,0.18
1113,"WHEY,ACID,DRIED",3.51,339.0,11.73,0.54,10.77,73.45,0.0,73.45,2054.0,1.24,199.0,1349.0,2289.0,968.0,6.31,0.05,0.015,27.3,0.9,0.622,2.06,1.16,0.62,0.0,2.5
1114,"WHEY,SWEET,FLUID",93.12,27.0,0.85,0.36,0.53,5.14,0.0,5.14,47.0,0.06,8.0,46.0,161.0,54.0,0.13,0.004,0.001,1.9,0.1,0.036,0.158,0.074,0.031,0.0,0.28
1115,"WHEY,SWEET,DRIED",3.19,353.0,12.93,1.07,8.35,74.46,0.0,74.46,796.0,0.88,176.0,932.0,2080.0,1079.0,1.97,0.07,0.009,27.2,1.5,0.519,2.208,1.258,0.584,0.0,2.37
1116,"YOGURT,PLN,WHL MILK,8 GRAMS PROT PER 8 OZ",87.9,61.0,3.47,3.25,0.72,4.66,0.0,4.66,121.0,0.05,12.0,95.0,155.0,46.0,0.59,0.009,0.004,2.2,0.5,0.029,0.142,0.075,0.032,0.0,0.37
1117,"YOGURT,PLN,LOFAT,12 GRAMS PROT PER 8 OZ",85.07,63.0,5.25,1.55,1.09,7.04,0.0,7.04,183.0,0.08,17.0,144.0,234.0,70.0,0.89,0.013,0.004,3.3,0.8,0.044,0.214,0.114,0.049,0.0,0.56
1118,"YOGURT,PLN,SKIM MILK,13 GRAMS PROT PER 8 OZ",85.23,56.0,5.73,0.18,1.18,7.68,0.0,7.68,199.0,0.09,19.0,157.0,255.0,77.0,0.97,0.015,0.005,3.6,0.9,0.048,0.234,0.124,0.053,0.0,0.61
1119,"YOGURT,VANILLA,LOFAT,11 GRAMS PROT PER 8 OZ",79.0,85.0,4.93,1.25,1.02,13.8,0.0,13.8,171.0,0.07,16.0,135.0,219.0,66.0,0.83,0.013,0.004,4.9,0.8,0.042,0.201,0.107,0.045,0.0,0.53
1120,"YOGURT,FRUIT,LOFAT,9 GRAMS PROT PER 8 OZ",75.3,99.0,3.98,1.15,0.93,18.64,0.0,18.64,138.0,0.06,13.0,109.0,177.0,53.0,0.67,0.079,0.064,2.8,0.6,0.034,0.162,0.086,0.037,0.0,0.43
1121,"YOGURT,FRUIT,LOFAT,10 GRAMS PROT PER 8 OZ",74.48,102.0,4.37,1.08,1.02,19.05,0.0,19.05,152.0,0.07,15.0,119.0,195.0,58.0,0.74,0.08,0.065,3.1,0.7,0.037,0.178,0.095,0.04,0.0,0.47
1123,"EGG,WHL,RAW,FRSH",76.15,143.0,12.56,9.51,1.06,0.72,0.0,0.37,56.0,1.75,12.0,198.0,138.0,142.0,1.29,0.072,0.028,30.7,0.0,0.04,0.457,0.075,0.17,0.0,0.89
1124,"EGG,WHITE,RAW,FRESH",87.57,52.0,10.9,0.17,0.63,0.73,0.0,0.71,7.0,0.08,11.0,15.0,163.0,166.0,0.03,0.023,0.011,20.0,0.0,0.004,0.439,0.105,0.005,0.0,0.09
1125,"EGG,YOLK,RAW,FRSH",52.31,322.0,15.86,26.54,1.71,3.59,0.0,0.56,129.0,2.73,5.0,390.0,109.0,48.0,2.3,0.077,0.055,56.0,0.0,0.176,0.528,0.024,0.35,0.0,1.95
1126,"EGG,YOLK,RAW,FRZ,PAST",56.44,296.0,15.53,25.6,1.62,0.81,0.0,0.16,134.0,4.55,11.0,420.0,121.0,67.0,3.17,0.0,0.078,56.4,0.0,0.223,0.563,0.031,0.412,0.0,1.9
1127,"EGG,YOLK,RAW,FRZ,SUGARED,PAST",51.23,307.0,13.87,22.82,1.13,10.95,0.0,10.3,124.0,3.7,10.0,404.0,105.0,70.0,3.06,0.012,0.08,53.5,0.0,0.14,0.523,0.037,0.398,0.0,1.64
1128,"EGG,WHL,CKD,FRIED",69.47,196.0,13.61,14.84,1.26,0.83,0.0,0.4,62.0,1.89,13.0,215.0,152.0,207.0,1.39,0.078,0.03,33.1,0.0,0.044,0.495,0.082,0.184,0.0,0.97
1129,"EGG,WHL,CKD,HARD-BOILED",74.62,155.0,12.58,10.61,1.08,1.12,0.0,1.12,50.0,1.19,10.0,172.0,126.0,124.0,1.05,0.013,0.026,30.8,0.0,0.066,0.513,0.064,0.121,0.0,1.11
1130,"EGG,WHOLE,COOKED,OMELET",76.13,154.0,10.57,11.66,1.01,0.64,0.0,0.31,48.0,1.48,11.0,167.0,117.0,155.0,1.09,0.063,0.024,25.8,0.0,0.034,0.386,0.064,0.143,0.0,0.76
1131,"EGG,WHL,CKD,POACHED",75.85,143.0,12.51,9.47,1.46,0.71,0.0,0.37,56.0,1.75,12.0,197.0,138.0,297.0,1.29,0.072,0.028,30.6,0.0,0.032,0.387,0.063,0.144,0.0,0.71
1132,"EGG,WHL,CKD,SCRMBLD",76.4,149.0,9.99,10.98,1.01,1.61,0.0,1.39,66.0,1.31,11.0,165.0,132.0,145.0,1.04,0.059,0.022,23.5,0.0,0.04,0.376,0.076,0.134,0.0,0.76
1133,"EGG,WHL,DRIED",2.78,592.0,48.05,43.9,4.13,1.13,0.0,0.56,244.0,7.2,34.0,629.0,540.0,476.0,3.15,0.203,0.058,164.7,0.0,0.183,1.977,0.34,0.499,0.0,2.96
1135,"EGG,WHITE,DRIED,FLAKES,STABILIZED,GLUCOSE RED",14.62,351.0,76.92,0.04,4.25,4.17,0.0,0.0,83.0,0.23,67.0,83.0,1042.0,1156.0,0.15,0.23,0.07,116.8,0.0,0.035,2.162,0.675,0.023,0.0,0.49
1136,"EGG,WHITE,DRIED,PDR,STABILIZED,GLUCOSE RED",8.54,376.0,82.4,0.04,4.55,4.47,0.0,0.0,89.0,0.24,72.0,89.0,1116.0,1238.0,0.16,0.17,0.05,125.1,0.0,0.037,2.316,0.723,0.024,0.0,0.53
1137,"EGG,YOLK,DRIED",3.08,669.0,33.63,59.13,3.51,0.66,0.0,0.23,289.0,9.56,26.0,1040.0,264.0,149.0,7.73,0.0,0.185,139.3,0.0,0.387,1.257,0.083,0.742,0.0,5.11
